entity_type,id,url,style,tags
airline,569,/media/airline_569_872b49f3.jpg,logo,"brand,airline"
airline,2183,/media/airline_2183_a57c09db.png,logo,"brand,airline"
airline,4435,/media/airline_4435_e5b3722c.png,logo,"brand,airline"
airline,3320,/media/airline_3320_70f940ca.jpg,logo,"brand,airline"
airline,1355,/media/airline_1355_16999d5c.jpg,logo,"brand,airline"
airline,1769,/media/airline_1769_19e9d12f.png,logo,"brand,airline"
airline,24,/media/airline_24_8b97258d.png,logo,"brand,airline"
airline,2009,/media/airline_2009_82a26d17.png,logo,"brand,airline"
